Trials
trial_id, epochs, score, loss, learning_rate, batch_size, dropout_1,mean_absolute_error, mean_squared_error, max_error
0, 40, 0.042943, 0.020072, 0.004427, 128, 0.130359, 0.071917, 0.042550, 0.999992
1, 40, 0.043884, 0.024184, 0.003900, 64, 0.182566, 0.080947, 0.049712, 0.999967
2, 36, 0.039238, 0.021066, 0.003443, 128, 0.057733, 0.076724, 0.045516, 0.999990
3, 49, 0.044842, 0.012598, 0.000358, 32, 0.096889, 0.073218, 0.041794, 0.999815
4, 51, 0.054190, 0.028273, 0.008726, 128, 0.116766, 0.091312, 0.054558, 1.000000
5, 43, 0.045550, 0.016304, 0.004311, 64, 0.105580, 0.075000, 0.049150, 1.000000
6, 44, 0.055033, 0.018862, 0.004700, 16, 0.021061, 0.076073, 0.050266, 1.000000
7, 60, 0.052303, 0.010913, 0.000292, 64, 0.016427, 0.096256, 0.056544, 0.999955
8, 30, 0.044263, 0.032071, 0.002335, 128, 0.181700, 0.086720, 0.046076, 0.999096
9, 44, 0.049853, 0.021487, 0.005705, 32, 0.041884, 0.090016, 0.056733, 0.999998
10, 59, 0.048087, 0.010547, 0.000360, 64, 0.058705, 0.079129, 0.047405, 0.999873
11, 36, 0.047752, 0.021625, 0.003263, 128, 0.150047, 0.081528, 0.046690, 0.999821
12, 59, 0.048927, 0.016426, 0.007371, 128, 0.141065, 0.076051, 0.049346, 0.999995
13, 51, 0.041545, 0.020856, 0.009717, 128, 0.091845, 0.078568, 0.047620, 0.999996
14, 30, 0.063501, 0.035228, 0.009563, 32, 0.013741, 0.100940, 0.062071, 1.000000
15, 24, 0.061346, 0.044729, 0.006509, 16, 0.037217, 0.114918, 0.066160, 0.999999
16, 36, 0.060246, 0.037526, 0.006346, 32, 0.178367, 0.111813, 0.062892, 1.000000
17, 25, 0.051401, 0.033720, 0.002830, 32, 0.163599, 0.090962, 0.052935, 0.999845
18, 32, 0.042747, 0.018149, 0.002815, 32, 0.045598, 0.079397, 0.052726, 0.999997
19, 44, 0.055527, 0.025497, 0.009472, 32, 0.099952, 0.087185, 0.057254, 1.000000
Best model
{'batch_size': 3, 'dropout_rate': 0.0577325071805092, 'lr': 0.003442501171319507}
