Trials
trial_id, epochs, score, loss, learning_rate, batch_size, dropout_1,mean_absolute_error, mean_squared_error, max_error
0, 51, 0.038786, 0.013299, 0.004427, 128, 0.130359, 0.066923, 0.043757, 0.999985
1, 33, 0.045572, 0.028906, 0.003900, 64, 0.182566, 0.091156, 0.049362, 0.999803
2, 48, 0.040030, 0.012643, 0.003443, 128, 0.057733, 0.072208, 0.045937, 0.999993
3, 60, 0.037208, 0.013264, 0.000358, 32, 0.096889, 0.070292, 0.036030, 0.999406
4, 48, 0.046224, 0.019967, 0.008726, 128, 0.116766, 0.080896, 0.048816, 1.000000
5, 45, 0.042705, 0.017737, 0.004311, 64, 0.105580, 0.070282, 0.044971, 1.000000
6, 48, 0.049362, 0.014813, 0.004700, 16, 0.021061, 0.077356, 0.053355, 1.000000
7, 102, 0.039387, 0.006397, 0.000292, 64, 0.016427, 0.069980, 0.039292, 0.999202
8, 51, 0.036116, 0.016293, 0.002335, 128, 0.181700, 0.063334, 0.034386, 0.999856
9, 23, 0.055419, 0.032786, 0.005705, 32, 0.041884, 0.098116, 0.058411, 1.000000
10, 79, 0.040605, 0.008625, 0.000360, 64, 0.058705, 0.068092, 0.035582, 0.999024
11, 45, 0.037322, 0.017983, 0.003263, 128, 0.150047, 0.072895, 0.041059, 0.999957
12, 36, 0.039630, 0.019914, 0.007371, 128, 0.141065, 0.077632, 0.046989, 0.999902
13, 57, 0.045443, 0.018494, 0.009717, 128, 0.091845, 0.073007, 0.043707, 0.999995
14, 32, 0.062825, 0.027839, 0.009563, 32, 0.013741, 0.103309, 0.070645, 0.999999
15, 39, 0.072432, 0.056098, 0.006509, 16, 0.037217, 0.129153, 0.073487, 0.999997
16, 51, 0.042342, 0.027708, 0.006346, 32, 0.178367, 0.075593, 0.043757, 1.000000
17, 42, 0.040485, 0.017732, 0.002830, 32, 0.163599, 0.072266, 0.045675, 0.999999
18, 25, 0.042807, 0.024079, 0.002815, 32, 0.045598, 0.085874, 0.048351, 0.999977
19, 49, 0.058683, 0.033091, 0.009472, 32, 0.099952, 0.090283, 0.058034, 0.999996
20, 24, 0.044151, 0.030677, 0.001534, 16, 0.079641, 0.088446, 0.045154, 0.999441
21, 32, 0.043019, 0.022908, 0.001564, 32, 0.078329, 0.081611, 0.043329, 0.999773
22, 74, 0.034275, 0.013671, 0.001516, 128, 0.198091, 0.060190, 0.032746, 0.999978
23, 60, 0.033782, 0.021721, 0.001426, 128, 0.199517, 0.074108, 0.036319, 0.999083
24, 67, 0.029736, 0.016232, 0.001403, 128, 0.199001, 0.065728, 0.037540, 0.999700
25, 58, 0.034075, 0.021515, 0.001041, 128, 0.198641, 0.074227, 0.035915, 0.998007
26, 43, 0.038970, 0.026459, 0.002107, 128, 0.164397, 0.074092, 0.037318, 0.997071
27, 103, 0.030364, 0.012061, 0.000791, 128, 0.199151, 0.060107, 0.033260, 0.999921
28, 107, 0.036030, 0.007889, 0.000776, 128, 0.128093, 0.059740, 0.033677, 0.999210
29, 42, 0.043314, 0.031690, 0.005389, 16, 0.159338, 0.077928, 0.042980, 1.000000
Best model
{'batch_size': 3, 'dropout_rate': 0.19900120256111326, 'lr': 0.0014027333309454923}
