Trials
trial_id, epochs, score, loss, learning_rate, batch_size, dropout_1,mean_absolute_error, mean_squared_error, max_error
0, 84, 0.057410, 0.032741, 0.004427, 128, 0.130359, 0.094341, 0.058324, 1.000000
1, 31, 0.060965, 0.052289, 0.003900, 64, 0.182566, 0.117241, 0.064416, 1.000000
2, 44, 0.060198, 0.028757, 0.003443, 128, 0.057733, 0.096803, 0.061387, 1.000000
3, 59, 0.048408, 0.024114, 0.000358, 32, 0.096889, 0.087190, 0.048905, 0.999994
4, 41, 0.070625, 0.049046, 0.008726, 128, 0.116766, 0.119083, 0.068313, 0.999998
5, 52, 0.064755, 0.034923, 0.004311, 64, 0.105580, 0.102691, 0.064327, 1.000000
6, 33, 0.072967, 0.041825, 0.004700, 16, 0.021061, 0.117856, 0.073963, 1.000000
7, 68, 0.055944, 0.022036, 0.000292, 64, 0.016427, 0.098961, 0.057680, 0.999999
8, 60, 0.056743, 0.033496, 0.002335, 128, 0.181700, 0.094598, 0.052455, 1.000000
9, 30, 0.069929, 0.046657, 0.005705, 32, 0.041884, 0.119475, 0.072921, 1.000000
10, 53, 0.052783, 0.027624, 0.000360, 64, 0.058705, 0.096154, 0.050841, 0.999990
11, 67, 0.050069, 0.025705, 0.003263, 128, 0.150047, 0.085696, 0.050578, 0.999998
12, 39, 0.069756, 0.052170, 0.007371, 128, 0.141065, 0.127937, 0.071081, 1.000000
13, 51, 0.062873, 0.043872, 0.009717, 128, 0.091845, 0.114814, 0.065856, 1.000000
14, 33, 0.083674, 0.056115, 0.009563, 32, 0.013741, 0.135222, 0.083567, 1.000000
15, 41, 0.069060, 0.044887, 0.006509, 16, 0.037217, 0.114936, 0.071477, 1.000000
16, 36, 0.066923, 0.067042, 0.006346, 32, 0.178367, 0.140916, 0.069590, 0.999996
17, 48, 0.054103, 0.039152, 0.002830, 32, 0.163599, 0.100231, 0.057293, 1.000000
18, 29, 0.062008, 0.030876, 0.002815, 32, 0.045598, 0.108174, 0.064662, 1.000000
19, 43, 0.073098, 0.061695, 0.009472, 32, 0.099952, 0.138321, 0.073049, 1.000000
20, 54, 0.055457, 0.023694, 0.001606, 16, 0.079641, 0.085472, 0.054694, 1.000000
21, 51, 0.049726, 0.028014, 0.001245, 32, 0.158124, 0.084716, 0.050223, 1.000000
22, 64, 0.051405, 0.028374, 0.001265, 32, 0.198940, 0.082743, 0.050410, 1.000000
23, 55, 0.052981, 0.023426, 0.001163, 32, 0.122811, 0.085289, 0.053404, 1.000000
24, 98, 0.046480, 0.023338, 0.000184, 32, 0.079281, 0.086842, 0.048863, 1.000000
25, 73, 0.049456, 0.022753, 0.000302, 32, 0.076856, 0.085819, 0.048115, 0.999994
26, 119, 0.054252, 0.030777, 0.000103, 32, 0.075459, 0.098340, 0.050644, 0.999968
27, 30, 0.062048, 0.035635, 0.002050, 32, 0.088893, 0.109671, 0.062189, 1.000000
28, 54, 0.050512, 0.024209, 0.000843, 16, 0.131783, 0.081409, 0.050242, 1.000000
29, 35, 0.061703, 0.026447, 0.001970, 32, 0.060601, 0.091897, 0.058068, 1.000000
Best model
{'batch_size': 1, 'dropout_rate': 0.07928100048994548, 'lr': 0.00018431732420256283}
